national_number,gen_numeric,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,Final evolution,is_final_evo,gigantamax,mega_evolution,mega_evolution_alt,description
191,2,II,Sunkern,Himanuts,grass,,Seed Pokémon,50,50,0.3,1.8,235,5120,30,30,30,30,30,30,180,Chlorophyll,Solar Power,,Early Bird,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Sunkern,Use Sun Stone,Sunflora,,,,,Sunflora,FALSE,,,,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew."
192,2,II,Sunflora,Kimawari,grass,,Sun Pokémon,50,50,0.8,8.5,120,5120,75,75,55,105,85,30,425,Chlorophyll,Solar Power,,Early Bird,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Sunkern,Use Sun Stone,Sunflora,,,,,Sunflora,TRUE,,,,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.
193,2,II,Yanma,Yanyanma,bug,flying,Clear Wing Pokémon,50,50,1.2,38,75,5120,65,65,45,75,45,95,390,Speed Boost,Compound Eyes,,Frisk,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0,0,0,Yanma,Level up while knowing  Ancient Power,Yanmega,,,,,Yanmega,FALSE,,,,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.
194,2,II,Wooper,Upah,water,ground,Water Fish Pokémon,50.2,49.8,0.4,8.5,255,5120,55,45,45,25,25,15,210,Damp,Water Absorb,,Unaware,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0,Wooper,Level ,Quagsire,,,,,Quagsire,FALSE,,,,This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.
195,2,II,Quagsire,Nuoh,water,ground,Water Fish Pokémon,50.2,49.8,1.4,75,90,5120,95,85,85,65,65,35,430,Damp,Water Absorb,,Unaware,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0,Wooper,Level ,Quagsire,,,,,Quagsire,TRUE,,,,It has an easygoing nature. It doesn’t care if it bumps its head on boats and boulders while swimming.
196,2,II,Espeon,Eifie,psychic,,Sun Pokémon,88.14,11.86,0.9,26.5,45,8960,65,65,60,130,95,110,525,Synchronize,,,Magic Bounce,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Eevee,,,,,,,Eevee,FALSE,,,,"By reading air currents, it can predict things such as the weather or its foe’s next move."
197,2,II,Umbreon,Blacky,dark,,Moonlight Pokémon,88.14,11.86,1,27,45,8960,95,65,110,60,130,65,525,Synchronize,,,Inner Focus,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,0,0,0,Eevee,,,,,,,Eevee,FALSE,,,,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes."
198,2,II,Murkrow,Yamikarasu,dark,flying,Darkness Pokémon,50,50,0.5,2.1,30,5120,60,85,42,85,42,91,405,Insomnia,Super Luck,,Prankster,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2,0,0,0,Murkrow,Use Dusk Stone,Honchkrow,,,,,Honchkrow,FALSE,,,,It has a weakness for shiny things. It’s been known to sneak into the nests of Gabite—noted collectors of jewels—in search of treasure.
199,2,II,Slowking,Yadoking,water,psychic,Royal Pokémon,50.2,49.8,2,79.5,70,5120,95,75,80,100,110,30,490,Oblivious,Own Tempo,,Regenerator,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,0,0,0,Slowpoke,Level,Slowbro,Trade with  King's Rock,Slowking,,,Slowking,TRUE,,,,"Miraculously, this former Slowpoke’s latent intelligence was drawn out when Shellder poison raced through its brain."
200,2,II,Misdreavus,Muma,ghost,,Screech Pokémon,50,50,0.7,1,45,6400,60,60,60,85,85,85,435,Levitate,,,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,0,0,0,Misdreavus,Use Dusk Stone,Mismagius,,,,,Mismagius,FALSE,,,,"What gives meaning to its life is surprising others. If you set your ear against the red orbs around its neck, you can hear shrieking."
201,2,II,Unown,Unknown,psychic,,Symbol Pokémon,,,0.5,5,225,10240,48,72,48,72,48,48,336,Levitate,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Unown,,,,,,,Unown,TRUE,,,,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known."
202,2,II,Wobbuffet,Sonans,psychic,,Patient Pokémon,50.2,49.8,1.3,28.5,45,5120,190,33,58,33,58,33,405,Shadow Tag,,,Telepathy,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Wynaut,Level ,Wobbuffet,,,,,Wobbuffet,TRUE,,,,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike."
203,2,II,Girafarig,Kirinriki,normal,psychic,Long Neck Pokémon,50,50,1.5,41.5,60,5120,70,80,65,90,65,85,455,Inner Focus,Early Bird,,Sap Sipper,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1,0,0,0,Girafarig,,,,,,,Girafarig,TRUE,,,,"Girafarig’s rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite."
204,2,II,Pineco,Kunugidama,bug,,Bagworm Pokémon,50,50,0.6,7.2,190,5120,50,65,90,35,35,15,290,Sturdy,,,Overcoat,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0,0,0,Pineco,Level ,Forretress,,,,,Forretress,FALSE,,,,"Motionless, it hangs from trees, waiting for its bug Pokémon prey to come to it. Its favorite in Alola is Cutiefly."
205,2,II,Forretress,Foretos,bug,steel,Bagworm Pokémon,50,50,1.2,125.8,75,5120,75,90,140,60,60,40,465,Sturdy,,,Overcoat,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,0,0,0,Pineco,Level ,Forretress,,,,,Forretress,TRUE,,,,"When something approaches it, it fires off fragments of its steel shell in attack. This is not a conscious action but a conditioned reflex."
206,2,II,Dunsparce,Nokocchi,normal,,Land Snake Pokémon,50.2,49.8,1.5,14,190,5120,100,70,70,65,65,45,415,Serene Grace,Run Away,,Rattled,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Dunsparce,,,,,,,Dunsparce,TRUE,,,,This Pokémon’s tiny wings have some scientists saying that Dunsparce used to fly through the sky in ancient times.
207,2,II,Gligar,Gliger,ground,flying,Flyscorpion Pokémon,50,50,1.1,64.8,60,5120,65,75,105,35,65,85,430,Hyper Cutter,Sand Veil,,Immunity,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,0,0,0,Gligar,Level up during the night while holding  Razor Fang,Gliscor,,,,,Gliscor,FALSE,,,,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb."
208,2,II,Steelix,Haganeil,steel,ground,Iron Snake Pokémon,50.2,49.8,9.2,400,25,6400,75,85,200,55,65,30,510,Rock Head,Sturdy,,Sheer Force,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,0,0,0,Onix,Trade with  Metal Coat,Steelix,,,,,Steelix,TRUE,,Mega Steelix,,"It is said that if an Onix lives for over 100 years, its composition changes to become diamond-like."
209,2,II,Snubbull,Bulu,fairy,,Fairy Pokémon,24.6,75.4,0.6,7.8,190,5120,60,80,50,40,40,30,300,Intimidate,Run Away,,Rattled,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0,0,0,Snubbull,Level ,Granbull,,,,,Granbull,FALSE,,,,It grows close to others easily and is also easily spoiled. The disparity between its face and its actions makes many young people wild about it.
210,2,II,Granbull,Granbulu,fairy,,Fairy Pokémon,24.6,75.4,1.4,48.7,75,5120,90,120,75,60,60,45,450,Intimidate,Quick Feet,,Rattled,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0,0,0,Snubbull,Level ,Granbull,,,,,Granbull,TRUE,,,,"While it has powerful jaws, it doesn’t care for disputes, so it rarely has a chance to display their might."
211,2,II,Qwilfish,Harysen,water,poison,Balloon Pokémon,50.2,49.8,0.5,3.9,45,5120,65,95,85,55,55,85,440,Poison Point,Swift Swim,,Intimidate,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,0,0,0,Qwilfish,,,,,,,Qwilfish,TRUE,,,,"When faced with a larger opponent, it swallows as much water as it can to match the opponent’s size."
212,2,II,Scizor,Hassam,bug,steel,Pincer Pokémon,50.2,49.8,1.8,118,25,6400,70,130,100,55,80,65,500,Swarm,Technician,,Light Metal,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,0,0,0,Scyther,Trade with  Metal Coat,Scizor,,,,,Scizor,TRUE,,Mega Scizor,,Bulky pincers account for one third of Scizor’s body weight. A single swing of one of these pincers will crush a boulder completely.
213,2,II,Shuckle,Tsubotsubo,bug,rock,Mold Pokémon,50.2,49.8,0.6,20.5,190,5120,20,10,230,10,230,5,505,Sturdy,Gluttony,,Contrary,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1,0,0,0,Shuckle,,,,,,,Shuckle,TRUE,,,,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still."
214,2,II,Heracross,Heracros,bug,fighting,Singlehorn Pokémon,50.2,49.8,1.5,54,45,6400,80,125,75,40,95,85,500,Swarm,Guts,,Moxie,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,0,0,0,Heracross,,,,,,,Heracross,TRUE,,Mega Heracross,,Heracross loves sweet sap and will go looking through forests for it. The Pokémon uses its two antennae to pick up scents as it searches.
215,2,II,Sneasel,Nyula,dark,ice,Sharp Claw Pokémon,50.2,49.8,0.9,28,60,5120,55,95,55,35,75,115,430,Inner Focus,Keen Eye,,Pickpocket,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,0,0,0,Sneasel,Level up during the night while holding  Razor Claw,Weavile,,,,,Weavile,FALSE,,,,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy."
216,2,II,Teddiursa,Himeguma,normal,,Little Bear Pokémon,50,50,0.6,8.8,120,5120,60,80,50,50,50,40,330,Pickup,Quick Feet,,Honey Gather,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Teddiursa,Level ,Ursaring,,,,,Ursaring,FALSE,,,,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.
217,2,II,Ursaring,Ringuma,normal,,Hibernator Pokémon,50,50,1.8,125.8,60,5120,90,130,75,75,75,55,500,Guts,Quick Feet,,Unnerve,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Teddiursa,Level ,Ursaring,,,,,Ursaring,TRUE,,,,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day."
218,2,II,Slugma,Magmag,fire,,Lava Pokémon,50,50,0.7,35,190,5120,40,40,40,70,40,20,250,Magma Armor,Flame Body,,Weak Armor,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Slugma,Level ,Magcargo,,,,,Magcargo,FALSE,,,,"Molten magma courses throughout Slugma’s circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size."
219,2,II,Magcargo,Magcargot,fire,rock,Lava Pokémon,50,50,0.8,55,75,5120,60,50,120,90,80,30,430,Magma Armor,Flame Body,,Weak Armor,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,0,0,0,Slugma,Level ,Magcargo,,,,,Magcargo,TRUE,,,,Magcargo’s shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma.
220,2,II,Swinub,Urimoo,ice,ground,Pig Pokémon,50.2,49.8,0.4,6.5,225,5120,50,50,40,30,30,50,250,Oblivious,Snow Cloak,,Thick Fat,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,0,0,0,Swinub,Level ,Piloswine,Level up while knowing  Ancient Power,Mamoswine,,,Mamoswine,FALSE,,,,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
221,2,II,Piloswine,Inomoo,ice,ground,Swine Pokémon,50.2,49.8,1.1,55.8,75,5120,100,100,80,60,60,50,450,Oblivious,Snow Cloak,,Thick Fat,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,0,0,0,Swinub,Level ,Piloswine,Level up while knowing  Ancient Power,Mamoswine,,,Mamoswine,FALSE,,,,"If it charges at an enemy, the hairs on its back stand up straight. It is very sensitive to sound."
222,2,II,Corsola,Sunnygo,water,rock,Coral Pokémon,24.9,75.1,0.6,5,60,5120,65,55,95,65,95,35,410,Hustle,Natural Cure,,Regenerator,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,0,0,0,Corsola,Level 38,Cursola,,,,,Cursola,FALSE,,,,It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.
223,2,II,Remoraid,Teppouo,water,,Jet Pokémon,50.2,49.8,0.6,12,190,5120,35,65,35,65,35,65,300,Hustle,Sniper,,Moody,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Remoraid,Level ,Octillery,,,,,Octillery,FALSE,,,,The water they shoot from their mouths can hit moving prey from more than 300 feet away.
224,2,II,Octillery,Okutank,water,,Jet Pokémon,50.2,49.8,0.9,28.5,75,5120,75,105,75,105,75,45,480,Suction Cups,Sniper,,Moody,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Remoraid,Level ,Octillery,,,,,Octillery,TRUE,,,,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.
225,2,II,Delibird,Delibird,ice,flying,Delivery Pokémon,50.2,49.8,0.9,16,45,5120,45,55,45,65,45,75,330,Vital Spirit,Hustle,,Insomnia,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1,0,0,0,Delibird,,,,,,,Delibird,TRUE,,,,It carries food all day long. There are tales about lost people who were saved by the food it had.
226,2,II,Mantine,Mantain,water,flying,Kite Pokémon,50.2,49.8,2.1,220,25,6400,85,40,70,80,140,70,485,Swift Swim,Water Absorb,,Water Veil,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,0,0,0,Mantyke,Level up with Remoraid in the party,Mantine,,,,,Mantine,TRUE,,,,"If it builds up enough speed swimming, it can jump out above the waves and glide for over 300 feet."
227,2,II,Skarmory,Airmd,steel,flying,Armor Bird Pokémon,50.2,49.8,1.7,50.5,25,6400,65,80,140,40,70,70,465,Keen Eye,Sturdy,,Weak Armor,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5,0,0,0,Skarmory,,,,,,,Skarmory,TRUE,,,,The pointed feathers of these Pokémon are sharper than swords. Skarmory and Corviknight fight viciously over territory.
228,2,II,Houndour,Delvil,dark,fire,Dark Pokémon,50,50,0.6,10.8,120,5120,45,60,30,80,50,65,330,Early Bird,Flash Fire,,Unnerve,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,0,0,0,Houndour,Level ,Houndoom,,,,,Houndoom,FALSE,,,,"It cooperates with others skillfully. When it becomes your partner, it’s very loyal to you as its Trainer and will obey your orders."
229,2,II,Houndoom,Hellgar,dark,fire,Dark Pokémon,50,50,1.4,35,45,5120,75,90,50,110,80,95,500,Early Bird,Flash Fire,,Unnerve,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,0,0,0,Houndour,Level ,Houndoom,,,,,Houndoom,TRUE,,Mega Houndoom,,They spew flames mixed with poison to finish off their opponents. They divvy up their prey evenly among the members of their pack.
230,2,II,Kingdra,Kingdra,water,dragon,Dragon Pokémon,50.2,49.8,1.8,152,45,5120,75,95,95,95,95,85,540,Swift Swim,Sniper,,Damp,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2,0,0,0,Horsea,Level ,Seadra,Trade with  Dragon Scale,Kingdra,,,Kingdra,TRUE,,,,"With the arrival of a storm at sea, this Pokémon will show itself on the surface. When a Kingdra and a Dragonite meet, a fierce battle ensues."
231,2,II,Phanpy,Gomazou,ground,,Long Nose Pokémon,50,50,0.5,33.5,120,5120,90,60,60,40,40,40,330,Pickup,,,Sand Veil,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Phanpy,Level ,Donphan,,,,,Donphan,FALSE,,,,"For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed."
232,2,II,Donphan,Donfan,ground,,Armor Pokémon,50,50,1.1,120,60,5120,90,120,120,60,60,50,500,Sturdy,,,Sand Veil,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Phanpy,Level ,Donphan,,,,,Donphan,TRUE,,,,"Donphan’s favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can’t stop very easily."
233,2,II,Porygon2,Porygon2,normal,,Virtual Pokémon,,,0.6,32.5,45,5120,85,80,90,105,95,60,515,Trace,Download,,Analytic,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Porygon,Trade with  Upgrade,Porygon2,Trade with  Dubious Disc,Porygon-Z,,,Porygon-Z,FALSE,,,,This is a Porygon that was updated with special data. Porygon2 develops itself by learning about many different subjects all on its own.
234,2,II,Stantler,Odoshishi,normal,,Big Horn Pokémon,50,50,1.4,71.2,45,5120,73,95,62,85,65,85,465,Intimidate,Frisk,,Sap Sipper,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Stantler,,,,,,,Stantler,TRUE,,,,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers."
235,2,II,Smeargle,Doble,normal,,Painter Pokémon,50,50,1.2,58,45,5120,55,20,35,20,45,75,250,Own Tempo,Technician,,Moody,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Smeargle,,,,,,,Smeargle,TRUE,,,,The fluid of Smeargle’s tail secretions changes in the intensity of its hue as the Pokémon’s emotions change.
236,2,II,Tyrogue,Balkie,fighting,,Scuffle Pokémon,100,0,0.7,21,75,6400,35,35,35,35,35,35,210,Guts,Steadfast,,Vital Spirit,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Tyrogue,Attack < Defence at Level 20,Hitmonchan,Attack > Defence at Level 20,Hitmonlee,Attack = Defence at Level 20,Hitmontop,Hitmontop,FALSE,,,,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses."
237,2,II,Hitmontop,Kapoerer,fighting,,Handstand Pokémon,100,0,1.4,48,45,6400,50,95,95,35,110,70,455,Intimidate,Technician,,Steadfast,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Tyrogue,Attack = Defence at Level 20,Hitmontop,,,,,Hitmontop,TRUE,,,,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground."
238,2,II,Smoochum,Muchul,ice,psychic,Kiss Pokémon,0,100,0.4,6,45,6400,45,30,15,85,65,65,305,Oblivious,Forewarn,,Hydration,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1,0,0,0,Smoochum,Level ,Jynx,,,,,Jynx,FALSE,,,,"If its face gets even slightly dirty, Smoochum will bathe immediately. But if its body gets dirty, Smoochum doesn’t really seem to care."
239,2,II,Elekid,Elekid,electric,,Electric Pokémon,75.49,24.51,0.6,23.5,45,6400,45,63,37,65,55,95,360,Static,,,Vital Spirit,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Elekid,Level ,Electabuzz,Trade with  Electirizer,Electivire,,,Electivire,FALSE,,,,"When a storm approaches, this Pokémon gets restless. Once Elekid hears the sound of thunder, it gets full-on rowdy."
240,2,II,Magby,Buby,fire,,Live Coal Pokémon,75.49,24.51,0.7,21.4,45,6400,45,75,37,70,55,83,365,Flame Body,,,Vital Spirit,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Magby,Level ,Magmar,Trade with  Magmarizer,Magmortar,,,Magmortar,FALSE,,,,"This Pokémon is still small and timid. Whenever Magby gets excited or surprised, flames leak from its mouth and its nose."
241,2,II,Miltank,Miltank,normal,,Milk Cow Pokémon,0,100,1.2,75.5,45,5120,95,80,105,40,70,100,490,Thick Fat,Scrappy,,Sap Sipper,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Miltank,,,,,,,Miltank,TRUE,,,,"Miltank produces highly nutritious milk, so it’s been supporting the lives of people and other Pokémon since ancient times."
242,2,II,Blissey,Happinas,normal,,Happiness Pokémon,0,100,1.5,46.8,30,10240,255,10,10,75,135,55,540,Natural Cure,Serene Grace,,Healer,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Happiny,Level up during day while holding Oval Stone,Chansey,Level Up with Happiness Value at 220,Blissey,,,Blissey,TRUE,,,,"Whenever a Blissey finds a weakened Pokémon, it will share its egg and offer its care until the other Pokémon is all better."
243,2,II,Raikou,Raikou,electric,,Thunder Pokémon,,,1.9,178,3,20480,90,85,75,115,100,115,580,Pressure,,,Inner Focus,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,1,0,0,Raikou,,,,,,,Raikou,TRUE,,,,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.
244,2,II,Entei,Entei,fire,,Volcano Pokémon,,,2.1,198,3,20480,115,115,85,90,75,100,580,Pressure,,,Inner Focus,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,1,0,0,Entei,,,,,,,Entei,TRUE,,,,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.
245,2,II,Suicune,Suicune,water,,Aurora Pokémon,,,2,187,3,20480,100,75,115,90,115,85,580,Pressure,,,Inner Focus,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0,0,Suicune,,,,,,,Suicune,TRUE,,,,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.
246,2,II,Larvitar,Yogiras,rock,ground,Rock Skin Pokémon,50.2,49.8,0.6,72,45,10240,50,64,50,45,50,41,300,Guts,,,Sand Veil,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0,0,0,Larvitar,Level ,Pupitar,Level ,Tyranitar,,,Tyranitar,FALSE,,,,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil."
247,2,II,Pupitar,Sanagiras,rock,ground,Hard Shell Pokémon,50.2,49.8,1.2,152,45,10240,70,84,70,65,70,51,410,Shed Skin,,,,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0,0,0,Larvitar,Level ,Pupitar,Level ,Tyranitar,,,Tyranitar,FALSE,,,,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power."
248,2,II,Tyranitar,Bangiras,rock,dark,Armor Pokémon,50.2,49.8,2,202,45,10240,100,134,110,95,100,61,600,Sand Stream,,,Unnerve,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2,0,0,0,Larvitar,Level ,Pupitar,Level ,Tyranitar,,,Tyranitar,TRUE,,Mega Tyranitar,,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies."
249,2,II,Lugia,Lugia,psychic,flying,Diving Pokémon,,,5.2,216,3,30720,106,90,130,90,154,110,680,Pressure,,,Multiscale,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,0,1,0,Lugia,,,,,,,Lugia,TRUE,,,,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea."
250,2,II,Ho-Oh,Houou,fire,flying,Rainbow Pokémon,,,3.8,199,3,30720,106,130,90,110,154,90,680,Pressure,,,Regenerator,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,0,1,0,Ho-Oh,,,,,,,Ho-Oh,TRUE,,,,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.
251,2,II,Celebi,Celebi,psychic,grass,Time Travel Pokémon,,,0.6,5,45,30720,100,100,100,100,100,100,600,Natural Cure,,,,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1,0,0,1,Celebi,,,,,,,Celebi,TRUE,,,,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us."
252,3,III,Treecko,Kimori,grass,,Wood Gecko Pokémon,88.14,11.86,0.5,5,45,5120,40,45,35,65,55,70,310,Overgrow,,,Unburden,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Treecko,Level ,Grovyle,Level ,Sceptile,,,Sceptile,FALSE,,,,Treecko has small hooks on the bottom of its feet that enable it to scale vertical walls. This Pokémon attacks by slamming foes with its thick tail.
253,3,III,Grovyle,Juptile,grass,,Wood Gecko Pokémon,88.14,11.86,0.9,21.6,45,5120,50,65,45,85,65,95,405,Overgrow,,,Unburden,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Treecko,Level ,Grovyle,Level ,Sceptile,,,Sceptile,FALSE,,,,The leaves growing out of Grovyle’s body are convenient for camouflaging it from enemies in the forest. This Pokémon is a master at climbing trees in jungles.
